qid,query,field,field_display,tp,fp,fn,precision_q,recall_q,f1_q
q001,"In adults with ulcerative colitis, does biologic therapy versus placebo improve clinical remission at 8 weeks in outpatient setting? The patient currently has MES 0. Consider UCEIS 5 context.",population,Population,2,0,0,1.0,1.0,1.0
q001,"In adults with ulcerative colitis, does biologic therapy versus placebo improve clinical remission at 8 weeks in outpatient setting? The patient currently has MES 0. Consider UCEIS 5 context.",intervention,Intervention,1,0,0,1.0,1.0,1.0
q001,"In adults with ulcerative colitis, does biologic therapy versus placebo improve clinical remission at 8 weeks in outpatient setting? The patient currently has MES 0. Consider UCEIS 5 context.",comparator,Comparator,2,0,0,1.0,1.0,1.0
q001,"In adults with ulcerative colitis, does biologic therapy versus placebo improve clinical remission at 8 weeks in outpatient setting? The patient currently has MES 0. Consider UCEIS 5 context.",outcomes,Outcomes,1,1,0,0.5,1.0,0.6666666666666666
q001,"In adults with ulcerative colitis, does biologic therapy versus placebo improve clinical remission at 8 weeks in outpatient setting? The patient currently has MES 0. Consider UCEIS 5 context.",severity_anchors,Severity anchors,2,1,0,0.6666666666666666,1.0,0.8
q001,"In adults with ulcerative colitis, does biologic therapy versus placebo improve clinical remission at 8 weeks in outpatient setting? The patient currently has MES 0. Consider UCEIS 5 context.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q001,"In adults with ulcerative colitis, does biologic therapy versus placebo improve clinical remission at 8 weeks in outpatient setting? The patient currently has MES 0. Consider UCEIS 5 context.",setting,Setting,1,0,0,1.0,1.0,1.0
q001,"In adults with ulcerative colitis, does biologic therapy versus placebo improve clinical remission at 8 weeks in outpatient setting? The patient currently has MES 0. Consider UCEIS 5 context.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q002,"For adults with moderate ulcerative colitis, compare infliximab with standard care for endoscopic improvement over 12 weeks.",population,Population,3,0,0,1.0,1.0,1.0
q002,"For adults with moderate ulcerative colitis, compare infliximab with standard care for endoscopic improvement over 12 weeks.",intervention,Intervention,1,0,0,1.0,1.0,1.0
q002,"For adults with moderate ulcerative colitis, compare infliximab with standard care for endoscopic improvement over 12 weeks.",comparator,Comparator,1,0,0,1.0,1.0,1.0
q002,"For adults with moderate ulcerative colitis, compare infliximab with standard care for endoscopic improvement over 12 weeks.",outcomes,Outcomes,1,0,0,1.0,1.0,1.0
q002,"For adults with moderate ulcerative colitis, compare infliximab with standard care for endoscopic improvement over 12 weeks.",severity_anchors,Severity anchors,0,1,0,0.0,0.0,0.0
q002,"For adults with moderate ulcerative colitis, compare infliximab with standard care for endoscopic improvement over 12 weeks.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q002,"For adults with moderate ulcerative colitis, compare infliximab with standard care for endoscopic improvement over 12 weeks.",setting,Setting,0,0,0,0.0,0.0,0.0
q002,"For adults with moderate ulcerative colitis, compare infliximab with standard care for endoscopic improvement over 12 weeks.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q003,What is the evidence that vedolizumab versus usual care changes steroid-free remission in adults with severe ulcerative colitis at 24 weeks?,population,Population,3,0,0,1.0,1.0,1.0
q003,What is the evidence that vedolizumab versus usual care changes steroid-free remission in adults with severe ulcerative colitis at 24 weeks?,intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
