label_name,acc,support,hits
barretts,0.0,4,0
barretts-short-segment,0.0,5,0
bbps-0-1,0.0,65,0
bbps-2-3,0.0,115,0
cecum,0.0,101,0
dyed-lifted-polyps,0.24,100,24
dyed-resection-margins,0.010101010101010102,99,1
esophagitis-a,0.875,40,35
esophagitis-b-d,0.038461538461538464,26,1
hemorrhoids,0.0,1,0
ileum,0.0,1,0
impacted-stool,0.0,13,0
polyps,0.019417475728155338,103,2
pylorus,0.0,100,0
retroflex-rectum,0.0,39,0
retroflex-stomach,0.0,76,0
ulcerative-colitis-grade-0-1,0.0,3,0
ulcerative-colitis-grade-1,0.0,20,0
ulcerative-colitis-grade-1-2,0.0,1,0
ulcerative-colitis-grade-2,0.022727272727272728,44,1
ulcerative-colitis-grade-2-3,0.0,3,0
ulcerative-colitis-grade-3,0.0,13,0
z-line,0.0,93,0
