source,question,answer,img_id,question_norm,question_type,answer_type
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3nv071u4fgd7xgq,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3nv071u4fgd7xgq,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3nv071u4fgd7xgq,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3nv071u4fgd7xgq,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3nv071u4fgd7xgq,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3nv071u4fgd7xgq,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Is there text?,yes,cla820gl0s3nv071u4fgd7xgq,is there text,Yes/No,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3nv071u4fgd7xgq,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3nv071u4fgd7xgq,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3nv071u4fgd7xgq,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3nv071u4fgd7xgq,how many findings are present,Counting,Numeric
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3nv071u4fgd7xgq,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3nv071u4fgd7xgq,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3nv071u4fgd7xgq,where in the image is the abnormality,Location,List
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3nv071u4fgd7xgq,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3nv071u4fgd7xgq,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3nv071u4fgd7xgq,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Is there text?,yes,cla820gl0s3nz071uch6e0sas,is there text,Yes/No,Yes/No
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3nz071uch6e0sas,are there any instruments in the image check all that are present,Yes/No,None/NA
