source,question,answer,img_id
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Is there text?,yes,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3nv071u4fgd7xgq
Ulcerative Colitis,Is there text?,yes,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Is this finding easy to detect?,no,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3nz071uch6e0sas
Ulcerative Colitis,Is there text?,yes,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,Is this finding easy to detect?,no,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3o3071ufxqh1brg
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Is there text?,yes,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3o7071u4ouwcitb
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,Is this finding easy to detect?,no,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,Is there text?,yes,cla820gl0s3ob071u5z04bn3r
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Is there text?,yes,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3of071u96ilg9hm
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Is there text?,yes,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3oj071u5qln6oim
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,Is there text?,yes,cla820gl1s3on071u1e7gbeh0
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3or071udurk9106
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3or071udurk9106
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3or071udurk9106
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3or071udurk9106
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3or071udurk9106
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3or071udurk9106
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3or071udurk9106
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3or071udurk9106
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3or071udurk9106
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3or071udurk9106
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3or071udurk9106
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3or071udurk9106
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3or071udurk9106
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3or071udurk9106
Ulcerative Colitis,Is there text?,yes,cla820gl1s3or071udurk9106
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3or071udurk9106
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3or071udurk9106
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3ov071u2b7h3r59
