source,question,answer,img_id,question_type,question_norm,answer_type
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3nv071u4fgd7xgq,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3nv071u4fgd7xgq,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3nv071u4fgd7xgq,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3nv071u4fgd7xgq,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3nv071u4fgd7xgq,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3nv071u4fgd7xgq,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,Is there text?,yes,cla820gl0s3nv071u4fgd7xgq,Yes/No,is there text,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3nv071u4fgd7xgq,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3nv071u4fgd7xgq,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3nv071u4fgd7xgq,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3nv071u4fgd7xgq,Counting,how many findings are present,Numeric
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3nv071u4fgd7xgq,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3nv071u4fgd7xgq,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3nv071u4fgd7xgq,Location,where in the image is the abnormality,List
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3nv071u4fgd7xgq,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3nv071u4fgd7xgq,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3nv071u4fgd7xgq,Color,what color is the abnormality? if more than one separate with ;,List
