figure_id,chapter,title,plot_type,manifest_status,source_input_ids,generated_file_name,generated_abs_path,generated_exists,staged_abs_path,staged_relative_path_from_chapter_md,caption,chapter_md_file,chapter_md_abs_path,chapter_md_exists,markdown_snippet
F01,3,Cross-dataset benchmark heatmap,heatmap,ready,in_ch3_hyperkvasir_report;in_ch3_imageclef_report;in_ch3_kvasir_vqa_report;in_ch3_kvasir_vqa_x1_report;in_ch3_limuc_report;in_ch3_kvasir_seg_report,F01_ch3_cross_dataset_benchmark_heatmap.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F01_ch3_cross_dataset_benchmark_heatmap.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F01_ch3_cross_dataset_benchmark_heatmap.png,figures/generated/F01_ch3_cross_dataset_benchmark_heatmap.png,Cross-dataset reliability benchmark heatmap using frozen Chapter 3 report artifacts.,03_chapter_3_investigating_existing_vqa_techniques_across_gi_endoscopy_datasets_v2.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/03_chapter_3_investigating_existing_vqa_techniques_across_gi_endoscopy_datasets_v2.md,True,"![Cross-dataset benchmark heatmap (F01)](figures/generated/F01_ch3_cross_dataset_benchmark_heatmap.png)

*Cross-dataset reliability benchmark heatmap using frozen Chapter 3 report artifacts.*"
F02,4,Chapter 4 core metric comparison,grouped_bar,ready,in_ch4_metrics_clip_linear;in_ch4_metrics_resnet50_frozen;in_ch4_metrics_vit_frozen;in_ch4_metrics_finetune_resnet50;in_ch4_metrics_finetune_vit_or_swin;in_ch4_metrics_vlm_zero_shot;in_ch4_metrics_vlm_zero_shot_mode2_sampling;in_ch4_metrics_vlm_lora_balanced_full,F02_ch4_core_metric_comparison.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F02_ch4_core_metric_comparison.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F02_ch4_core_metric_comparison.png,figures/generated/F02_ch4_core_metric_comparison.png,"Chapter 4 core metric comparison across frozen, supervised, and generative model families.",04_chapter_4_developing_the_proposed_approach.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/04_chapter_4_developing_the_proposed_approach.md,True,"![Chapter 4 core metric comparison (F02)](figures/generated/F02_ch4_core_metric_comparison.png)

*Chapter 4 core metric comparison across frozen, supervised, and generative model families.*"
F03,4,Chapter 4 radar profile,radar,ready,in_ch4_metrics_finetune_resnet50;in_ch4_metrics_vit_frozen;in_ch4_metrics_vlm_zero_shot_mode2_sampling;in_ch4_metrics_vlm_lora_balanced_full,F03_ch4_radar_profile.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F03_ch4_radar_profile.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F03_ch4_radar_profile.png,figures/generated/F03_ch4_radar_profile.png,Normalized radar profile for selected Chapter 4 representative models.,04_chapter_4_developing_the_proposed_approach.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/04_chapter_4_developing_the_proposed_approach.md,True,"![Chapter 4 radar profile (F03)](figures/generated/F03_ch4_radar_profile.png)

*Normalized radar profile for selected Chapter 4 representative models.*"
F04,4,Remission slice comparison,grouped_bar,ready,in_ch4_pred_clip_linear;in_ch4_pred_resnet50_frozen;in_ch4_pred_vit_frozen;in_ch4_pred_finetune_resnet50;in_ch4_pred_finetune_vit_or_swin;in_ch4_pred_vlm_zero_shot;in_ch4_pred_vlm_zero_shot_mode2_sampling;in_ch4_pred_vlm_lora_balanced_full,F04_ch4_remission_slice_comparison.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F04_ch4_remission_slice_comparison.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F04_ch4_remission_slice_comparison.png,figures/generated/F04_ch4_remission_slice_comparison.png,Remission-slice comparison (Mayo 0-1 vs 2-3) across Chapter 4 runs.,04_chapter_4_developing_the_proposed_approach.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/04_chapter_4_developing_the_proposed_approach.md,True,"![Remission slice comparison (F04)](figures/generated/F04_ch4_remission_slice_comparison.png)

*Remission-slice comparison (Mayo 0-1 vs 2-3) across Chapter 4 runs.*"
F05,4,Paired McNemar significance heatmap,heatmap,ready,in_ch4_pred_clip_linear;in_ch4_pred_resnet50_frozen;in_ch4_pred_vit_frozen;in_ch4_pred_finetune_resnet50;in_ch4_pred_finetune_vit_or_swin;in_ch4_pred_vlm_zero_shot;in_ch4_pred_vlm_zero_shot_mode2_sampling;in_ch4_pred_vlm_lora_balanced_full,F05_ch4_mcnemar_significance_heatmap.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F05_ch4_mcnemar_significance_heatmap.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F05_ch4_mcnemar_significance_heatmap.png,figures/generated/F05_ch4_mcnemar_significance_heatmap.png,Pairwise McNemar significance heatmap for Chapter 4 model comparisons.,04_chapter_4_developing_the_proposed_approach.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/04_chapter_4_developing_the_proposed_approach.md,True,"![Paired McNemar significance heatmap (F05)](figures/generated/F05_ch4_mcnemar_significance_heatmap.png)

*Pairwise McNemar significance heatmap for Chapter 4 model comparisons.*"
F06,4,Best supervised vs best generative confusion panel,panel,ready,in_ch4_confusion_best_supervised;in_ch4_confusion_best_generative,F06_ch4_confusion_panel.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F06_ch4_confusion_panel.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F06_ch4_confusion_panel.png,figures/generated/F06_ch4_confusion_panel.png,Confusion-matrix panel: best supervised run versus best generative run (Chapter 4).,04_chapter_4_developing_the_proposed_approach.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/04_chapter_4_developing_the_proposed_approach.md,True,"![Best supervised vs best generative confusion panel (F06)](figures/generated/F06_ch4_confusion_panel.png)

*Confusion-matrix panel: best supervised run versus best generative run (Chapter 4).*"
F07,5,PICO field precision/recall/F1,grouped_bar,ready,in_ch5_pico_eval;in_ch5_pico_per_query,F07_ch5_pico_field_precision_recall_f1.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F07_ch5_pico_field_precision_recall_f1.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F07_ch5_pico_field_precision_recall_f1.png,figures/generated/F07_ch5_pico_field_precision_recall_f1.png,"PICO field precision, recall, and F1 from Chapter 5 evaluation artifacts.",05_chapter_5_genai_wrapper_pico.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/05_chapter_5_genai_wrapper_pico.md,True,"![PICO field precision/recall/F1 (F07)](figures/generated/F07_ch5_pico_field_precision_recall_f1.png)

*PICO field precision, recall, and F1 from Chapter 5 evaluation artifacts.*"
F08,5,Retrieval@k curve with confidence intervals,line_with_ci,ready,in_ch5_retrieval_eval,F08_ch5_retrieval_at_k_curve_with_ci.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F08_ch5_retrieval_at_k_curve_with_ci.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F08_ch5_retrieval_at_k_curve_with_ci.png,figures/generated/F08_ch5_retrieval_at_k_curve_with_ci.png,Retrieval@k curve with 95% bootstrap confidence intervals (Chapter 5).,05_chapter_5_genai_wrapper_pico.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/05_chapter_5_genai_wrapper_pico.md,True,"![Retrieval@k curve with confidence intervals (F08)](figures/generated/F08_ch5_retrieval_at_k_curve_with_ci.png)

*Retrieval@k curve with 95% bootstrap confidence intervals (Chapter 5).*"
F09,5,Retrieval ablation comparison,lollipop,ready,in_ch5_retrieval_ablation,F09_ch5_retrieval_ablation_comparison.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F09_ch5_retrieval_ablation_comparison.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F09_ch5_retrieval_ablation_comparison.png,figures/generated/F09_ch5_retrieval_ablation_comparison.png,Retrieval ablation lollipop comparison across backend and rerank settings.,05_chapter_5_genai_wrapper_pico.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/05_chapter_5_genai_wrapper_pico.md,True,"![Retrieval ablation comparison (F09)](figures/generated/F09_ch5_retrieval_ablation_comparison.png)

*Retrieval ablation lollipop comparison across backend and rerank settings.*"
F10,5,Answer quality and grounding KPI panel,kpi_panel,ready,in_ch5_answer_eval;in_ch5_completion_audit_pass4,F10_ch5_answer_quality_grounding_kpi_panel.png,/home/aristotle/Desktop/rag-vqa-medical/Prototyping_reformat/thesis_figures/out/figures/F10_ch5_answer_quality_grounding_kpi_panel.png,True,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/figures/generated/F10_ch5_answer_quality_grounding_kpi_panel.png,figures/generated/F10_ch5_answer_quality_grounding_kpi_panel.png,Answer-quality and grounding KPI panel with completion-audit checklist (Chapter 5).,05_chapter_5_genai_wrapper_pico.md,/home/aristotle/Desktop/rag-vqa-medical/Thesis/markdown/05_chapter_5_genai_wrapper_pico.md,True,"![Answer quality and grounding KPI panel (F10)](figures/generated/F10_ch5_answer_quality_grounding_kpi_panel.png)

*Answer-quality and grounding KPI panel with completion-audit checklist (Chapter 5).*"
